,text,sentiment,Clean_text,Clean_text_length,mood
0,"Mike Harlow as on numerous occasions mocked Karlyn for her mental health, no cared if someone lost a loved one or w… ",0.19999999999999998,mike harlow numer occas mock karlyn mental health care someon lost love,71,Positive
1,RT @TimJDillon: This isn’t about health. It’s a cover for psychopathic personalities types to enforcer their will on other humans. All thes…,-0.125,thi about health cover psychopath person type enforc their will other human the,79,Negative
2,"RT @LfcJmr: Australia has fallen!

KILLED for not following Covid regulations!
Let that sink in! 

Still say it’s about health? ",-0.1,australia fallen kill follow covid regul that sink still about health,69,Negative
3,"RT @seanchaibeag: ""Disabled people are going to have to protect themselves.""

Okay, but I got covid from my doc's office, my best friend go…",0.43333333333333335,disabl peopl go have protect themselv okay covid from offic best friend,71,Positive
4,RT @LegendaryEnergy: Have you ever seen someone less healthy than the LA public health director?,0.11111111111111112,have ever seen someon less healthi than public health director,62,Positive
5,"RT @JulieCKiefer: ""This is just another piece of the puzzle that should encourage pregnant people to get vaccinated,” says lead author @Met…",0.3333333333333333,thi just anoth piec puzzl that should encourag pregnant peopl vaccin say lead author,84,Positive
6,RT @RaybonKan: Imagine being so concerned for the health of your kids that you make them stay outdoors for a weekend during a 95-year recor…,0.0,imagin be concern health your kid that make them stay outdoor weekend dure year recor,85,Positive
7,RT @JKuredjian: There are 70K people at the @SuperBowl but it’s illegal in #Ontario to host a 10+ person indoor event. I’m vaccinated. I mo…,-0.5,there peopl illeg #ontario host person indoor event vaccin,58,Negative
8,"RT @galexybrane: If 70,000 people can gather maskless at the Super Bowl then there is no public health emergency. Every single child in Cal…",0.08730158730158728,peopl gather maskless super bowl then there public health emerg everi singl child,81,Positive
9,"RT @AJEnglish: “It is not only affecting our education, it is affecting our mental health.""

Muslim women in India continue to protest a co…",-0.05,onli affect educ affect mental health muslim women india continu protest,72,Negative
10,"And he comes the conclusion that kiri needs a good self loving day full of self care and comfort things. 

The redh… ",0.5499999999999999,come conclus that kiri need good self love full self care comfort thing redh,76,Positive
11,RT @AB_RN_WarRoom: What are these “union-run” hospitals you speak of Jayce? By “unions” do you mean the AHS and Covenant Health boards of d…,-0.3125,what these union hospit speak jayc union mean coven health board,64,Negative
12,What did y'all get for Valentine's Day? I got a new mental health care plan 🥰,0.018181818181818174,what valentin mental health care plan,37,Positive
13,RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For DE   2022-02-10:  Covid Insights From Our Analytics Team and USAFact…,0.0,daili covid death popul counti covid insight from analyt team usafact,69,Positive
14,"RT @PotatoSmug: I just made roasted vegetable soup and did a barre workout instead of watching the Super Bowl because the NFL sucks, and I’…",0.016666666666666663,just made roast veget soup barr workout instead watch super bowl becaus suck,76,Positive
15,"@silkflovvers Take however long you need to to feel okay, your physical, mental, and emotional health are more impo… ",0.14166666666666666,take howev long need feel okay your physic mental emot health more impo,71,Positive
16,"RT @itsRamya_2506: It is health that is real wealth and not pieces of gold and silver.

SSR Murder Undeniable Truth",0.2,health that real wealth piec gold silver murder undeni truth,60,Positive
17,"[LISTEN] @BWGovernment Assistant Minister of Health, Sethomo Lelati-Sitswe discusses travelers to Botswana will fro… ",0.0,listen assist minist health sethomo lelati sitsw discuss travel botswana will,77,Positive
18,@BethFratesMD undeniably you make my mental health healthy x,0.2,undeni make mental health healthi,33,Positive
19,Be make sure to do your health screening annually. Just for precaution.,0.5,make sure your health screen annual just precaut,48,Positive
20,I am not going to seek health and wellness help from website that is going to give my very personal information to… ,0.0,go seek health well help from websit that go give veri person inform,68,Positive
21,@FreddyCouples @Captaincoby00 Public. Health. Emergency. The end.,0.0,public health emerg,19,Positive
22,"RT @TrueNorthCentre: Prior to the COVID-19 pandemic, the Public Health Agency of Canada sent masks to the landfill, shuttered several wareh…",0.0,prior covid pandem public health agenc canada sent mask landfil shutter sever wareh,83,Positive
23,"RT @WisdomAndSkill: ""Choose people who are good for your mental health""",0.3,choos peopl good your mental health,35,Positive
24,RT @janetrosenbaum: Wearing masks to prevent disease spread teaches children to care about the physical well-being of their teachers and co…,0.0,wear mask prevent diseas spread teach children care about physic well be their teacher,86,Positive
25,"RT @Dr_Adeleke: Dear Hopefuls; FUNDED SCHOLARSHIPS IN SWITZERLAND 🇨🇭

》No ASUU strike 
》Bachelor’s, Master's, Ph.D
》No IELTS 
》Free tuition…",0.0,dear hope fund scholarship switzerland asuu strike bachelor master ielt free tuition,84,Positive
26,"RT @KimaruChrispus: Kariobangi. Poor health,alcohol addict, a laptop &amp; a throat🙄 Here started another phase of my drinking career. My colle…",-0.4,kariobangi poor health alcohol addict laptop throat here start anoth phase drink career coll,92,Negative
27,this new episode of euphoria is really taking a toll on my mental health,0.07878787878787878,thi episod euphoria realli take toll mental health,50,Positive
28,"RT @Haraprasad_: 👉 Vote for development
👉 Vote for unity and harmony 
👉 Vote for health and education
👉 Vote for NYAY

#MyVoteForCongress h…",0.0,vote develop vote uniti harmoni vote health educ vote nyay #myvoteforcongress,77,Positive
29,RT @maestramarney: Taking a break Familia. Don’t want to disappoint anyone but I can’t do it right now. Someone that I love very much is ha…,0.3485714285714286,take break familia want disappoint anyon right someon that love veri much,73,Positive
30,RT @smh: Hong Kong facing a health crisis as ‘COVID zero’ fails to halt tide of cases ,-0.5,hong kong face health crisi covid zero fail halt tide case,58,Negative
31,RT @GenePark: I admit: I dismissed the seriousness of long covid because the way health experts and journalists described it made it seem l…,-0.05,admit dismiss serious long covid becaus health expert journalist describ made seem,82,Negative
32,"yeddeong, please don’t say sorry ☹️ it’s not your fault.. your health is much more important.. midzys can wait, we… ",0.13333333333333333,yeddeong pleas sorri your fault your health much more import midzi wait,71,Positive
33,RT @thewillwitt: There is no public health emergency.,0.0,there public health emerg,25,Positive
34,"RT @ramblingsloa: Happiness is the new rich.
Inner peace is the new success.
Health is the new wealth.
Kindness is the new cool.",0.25227272727272726,happi rich inner peac success health wealth kind cool,53,Positive
35,RT @Eziahatoka: Choosing your mental health above your attachment to them is self care,-0.05,choos your mental health abov your attach them self care,56,Negative
36,RT @stigmabase: Fighting stigma : Sir Tony Robinson health: 'I feel pretty fatalistic about it' – Alzheimer's disease — ,0.25,fight stigma toni robinson health feel pretti fatalist about alzheim diseas,75,Positive
37,i could not care less abt my health i solely work out to be hot and sexy,0.19444444444444445,could care less health sole work sexi,37,Positive
38,RT @todomejorqenada: La vacuna de Pfizer no se pondrá en la India porque sus autoridades han osado pedir a la farmacéutica que pase una pru…,0.0,vacuna pfizer pondr india porqu autoridad osado pedir farmac utica pase,71,Positive
39,RT @riswitter: The way Cassie tried to compare her struggles to rue and call her out is so gross. That girl is an addict with mental health…,-0.05,cassi tri compar struggl call gross that girl addict with mental health,71,Negative
40,"@INCIndia @srinivasiyc @RahulGandhi 🔹Use wisely to vote🗳
🔹Exercise Voting as it’s the power of People,our Democrati… ",0.7,wise vote exercis vote power peopl democrati,44,Positive
41,"RT @Smackenziekerr: That’s likely because the key top U.S. scientists involved in this research, like the National Institute of Health (NIH…",0.16666666666666666,that like becaus scientist involv thi research like nation institut health,74,Positive
42,"Waspada Tenggorokan Sakit Terus-menerus saat Bangun Tidur, Bisa Jadi Gejala Awal Kanker
 
 via @TribunHealth",0.0,waspada tenggorokan sakit teru meneru saat bangun tidur bisa jadi gejala awal kanker,84,Positive
43,"RT @Shm0ooo: I’m blocking every happy couple I see tomorrow, and that’s for my mental health 😌",0.35000000000000003,block everi happi coupl tomorrow that mental health,51,Positive
44,"RT @Road_trippn: There are still some decent ones! We’ll, just one in Arizona, but he did the decent thing! Has a heart in there after all.…",0.20833333333333331,there still some decent one just arizona decent thing heart there after,71,Positive
45,RT @ArkansasOnline: NEW: The Arkansas Department of Health on Sunday reported 40 coronavirus deaths. It was the deadliest weekend for covid…,0.13636363636363635,arkansa depart health sunday report coronaviru death deadliest weekend covid,76,Positive
46,"RT @TheOklaProject: Just a friendly reminder that Kevin Stitt cares more about himself and his friends than helping Oklahomans like us.

He…",0.4375,just friendli remind that kevin stitt care more about himself friend than help oklahoman like,93,Positive
47,RT @Moneaaa_Bishhh: Mental health is important. Take that break if you need it !,0.2,mental health import take that break need,41,Positive
48,Book your consultation with our expert ENT specialists at Clinicare. We promise you the complete healing of all you… ,0.1,book your consult with expert specialist clinicar promis complet heal,69,Positive
49,@JustinPeckford @MrLeslieRoberts A recent public opinion poll stated 40% of Canadians say the government cares abou… ,0.0,recent public opinion poll state canadian govern care abou,58,Positive
50,Visceral fat: The hot drink that could burn the harmful belly fat within weeks - Express ,0.25,viscer drink that could burn harm belli within week express,59,Positive
51,"RT @JapanEmb_SI: ◆ 新型コロナ感染状況(14日15時時点)
・新規感染者数 187（4,489）
・死者数 5（58）
・重症者数 19

政府によるCovid-19アップデートはこちら
",0.0,covid,5,Positive
52,RT @JohnnyAkzam: Health insurance is an obstacle to healthcare.,0.0,health insur obstacl healthcar,30,Positive
53,"RT @turtlebreezee: Trauma changes you ..like it literally alters your DNA, damages your mental health and takes a toll on your quality of l…",-0.1,trauma chang like liter alter your damag your mental health take toll your qualiti,82,Negative
